NMECH,MDOTC,TPR30,TTR30,ETA30
16049,8.423760260437641,2.613195508780398,0.3420092630404621,0.9212857268500289
16057.7,8.258182305,2.637124622,0.3452195171505319,0.9226129809735708
16052.3,8.019313487840783,2.6605132154898232,0.349292777,0.9213269251272516
16045.2,7.748122135914282,2.687346070775666,0.353394169,0.9213027139418066
16055.2,7.491839360883785,2.7179920260667387,0.3588029773026659,0.919331534
16042.1,7.2426547864842306,2.7412037618484777,0.3623163813754521,0.9192768640982668
16047.8,7.005196013381541,2.768306956,0.3668144121099028,0.918171545
16050.4,6.756653497494115,2.7932421206493543,0.3708079966030256,0.9174819599167136
16054.4,6.508263585852825,2.814297180485996,0.3746888903336799,0.9156000336875182
16035.6,6.231533314488909,2.820725285166424,0.3780515537674493,0.909710961
16051.6,6.010367452295406,2.828477067129996,0.3819961277409699,0.9030141636123274
16037.6,5.765813353754554,2.826064724583171,0.3844320994820923,0.8964103110089457
16039.8,5.510624862,2.816016369100116,0.3876390316524103,0.8853971818443039

18166.2,10.10913048355782,3.2850322772851754,0.4439118518808415,0.9083954046028636
18158.5,9.768649794454962,3.3383635005143013,0.4507761207321982,0.9088411255493312
18140.1,9.488599572992186,3.3735190134608226,0.4549686136801686,0.9096886709165376
18141,9.258910018264572,3.405145647019702,0.4594390489829074,0.9089715836382336
18140.4,9.016567284603903,3.442320479511372,0.4642422410183328,0.9089915694034262
18146.4,8.733397799356078,3.4847037179435736,0.4693659893367697,0.909596072
18136.9,8.499797293013456,3.516379256912789,0.4737744100867748,0.9088726387371155
18134.6,8.244725057214291,3.5436665718346285,0.4772853384938043,0.9087572317333454
18137.6,8.016268689752135,3.5724704544623886,0.4816012041643412,0.9074335765038812
18125.9,7.757267072550249,3.5938927124496325,0.4849380285070993,0.9062202611398612
18125.4,7.5213255694726415,3.614385643141096,0.488170227,0.9049450192520144
18148.4,7.285331406,3.632818090797505,0.4930536753292954,0.9001492911768844
18134.9,7.003685640164648,3.62854696,0.4951863491274179,0.8952633871146614

19206.4,10.839392244769195,3.7054202563531273,0.5020685494052897,0.8999337048330828
19211.4,10.52732874113944,3.7859501234748687,0.5096426816648967,0.903984807
19218.1,10.27570818,3.8327375616067343,0.5142930945499299,0.905710965
19216.6,10.016997730641332,3.879922565930604,0.5202630344491578,0.9050758738728544
19219.6,9.761804082690622,3.931491699087681,0.5258471826714585,0.9059298381154368
19200.1,9.505408165,3.959035610291103,0.5290122661513273,0.9060235952570266
19227.2,9.260656702557496,4.003158775850973,0.5350491496188482,0.9044406774030948
19227.2,8.980291084885671,4.038875678442099,0.5395627012163279,0.9038001341149956
19225.4,8.722569565339285,4.067059016674213,0.5428065032599823,0.9037830233457502
19223.2,8.471125172223141,4.094206808857416,0.5468537070451014,0.9022119265412302
19209,8.214245659662959,4.117440925350471,0.5506910997639419,0.9002568915323336
19213,7.971806950617509,4.1337697245222005,0.5548980734248443,0.8964025227524812

20267.5,11.756812371294412,4.139165171792257,0.5618152739043153,0.8861460899036085
20265.8,11.479052491945286,4.225678697978682,0.5686619540378826,0.8909299118022017
20257.5,11.21347022841876,4.282875540515134,0.5738054421129257,0.8929541895110505
20269.4,11.04540157075684,4.329195849221469,0.5777834680915557,0.8947767236794226
20260.4,10.717636468062274,4.389638096543877,0.5835580097357279,0.8961111803029358
20265,10.52379377,4.431578993620722,0.5869911842419586,0.897892924
20274.2,10.232702886939856,4.501732008529395,0.5925925840144299,0.9008672585804788
20263.3,10.012783687178016,4.533527781393817,0.5959891925233634,0.900822399
20277.2,9.725602395655825,4.589354899922568,0.6020645235519113,0.9005597165666225
20271.4,9.473040317878526,4.63068656,0.6064376188834891,0.9005082233668864
20287.4,9.288828132060257,4.663573628384119,0.6100703720181478,0.9001912436662852
20280.3,9.025144197,4.690656183202596,0.6142318782280629,0.8981847575489728
20282.1,8.772959359232496,4.711153909475565,0.6189323198510263,0.8943930047558516
20284.9,8.517516695085543,4.725414449667545,0.6230895769029106,0.8905062329435672

