radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.117229	0.117229	0.751709	0.030683	0.000596	0.000593	0.032921	0.328170
0.117232	0.117232	0.751700	0.030683	0.000596	0.000593	0.032921	0.328175
0.117241	0.117241	0.751434	0.030672	0.000596	0.000593	0.032920	0.328189
0.117266	0.117267	0.751310	0.030661	0.000596	0.000593	0.032920	0.328229
0.117341	0.117341	0.751115	0.031362	0.000596	0.000593	0.032919	0.328345
0.117558	0.117558	0.750119	0.031972	0.000596	0.000593	0.032917	0.328683
0.118190	0.118191	0.747675	0.032735	0.000596	0.000593	0.032910	0.329660
0.118823	0.118823	0.745931	0.033762	0.000596	0.000593	0.032902	0.330628
0.119455	0.119456	0.743702	0.035380	0.000596	0.000593	0.032895	0.331584
0.120088	0.120088	0.742203	0.037208	0.000596	0.000593	0.032888	0.332530
0.120720	0.120721	0.740127	0.037969	0.000596	0.000593	0.032881	0.333458
0.121353	0.121353	0.736995	0.038796	0.000596	0.000593	0.032874	0.334370
0.121985	0.121986	0.734913	0.039680	0.000596	0.000593	0.032867	0.335266
0.122618	0.122618	0.732761	0.040597	0.000596	0.000593	0.032861	0.336149
0.123250	0.123251	0.730438	0.042134	0.000596	0.000592	0.032854	0.337020
0.123883	0.123883	0.727286	0.044029	0.000596	0.000592	0.032848	0.337877
0.124515	0.124515	0.725465	0.045966	0.000597	0.000592	0.032841	0.338722
0.125147	0.125148	0.724014	0.046733	0.000597	0.000592	0.032835	0.339554
0.125780	0.125780	0.721628	0.048772	0.000597	0.000592	0.032829	0.340370
0.126412	0.126412	0.719672	0.050286	0.000597	0.000592	0.032823	0.341171
0.127044	0.127044	0.716406	0.052108	0.000598	0.000592	0.032817	0.341958
0.127676	0.127676	0.715453	0.053353	0.000598	0.000592	0.032811	0.342731
0.128309	0.128309	0.714004	0.055187	0.000598	0.000592	0.032806	0.343491
0.128941	0.128941	0.713313	0.056121	0.000598	0.000592	0.032800	0.344239
0.129573	0.129573	0.713092	0.057329	0.000598	0.000592	0.032794	0.344972
0.130205	0.130205	0.713391	0.058609	0.000598	0.000592	0.032789	0.345691
0.130837	0.130837	0.713664	0.059835	0.000598	0.000592	0.032783	0.346394
0.131469	0.131469	0.713776	0.060786	0.000598	0.000592	0.032778	0.347082
0.132101	0.132101	0.714319	0.062049	0.000598	0.000592	0.032773	0.347754
0.132733	0.132733	0.715628	0.062691	0.000598	0.000592	0.032768	0.348410
0.133365	0.133365	0.716529	0.063624	0.000597	0.000592	0.032763	0.349047
0.133997	0.133997	0.717407	0.064517	0.000597	0.000592	0.032758	0.349663
0.134629	0.134628	0.717894	0.065719	0.000597	0.000592	0.032754	0.350261
0.135261	0.135260	0.719013	0.066568	0.000597	0.000592	0.032750	0.350838
0.135892	0.135892	0.720020	0.067746	0.000597	0.000592	0.032746	0.351396
0.136524	0.136524	0.719828	0.068526	0.000597	0.000592	0.032742	0.351931
0.137156	0.137156	0.719573	0.069942	0.000597	0.000592	0.032739	0.352441
0.137788	0.137787	0.717578	0.070978	0.000596	0.000592	0.032736	0.352927
0.138419	0.138419	0.715760	0.072426	0.000596	0.000592	0.032733	0.353388
0.139051	0.139051	0.715004	0.074053	0.000596	0.000592	0.032731	0.353823
0.139683	0.139682	0.714482	0.075323	0.000596	0.000592	0.032728	0.354228
0.140314	0.140314	0.713671	0.076796	0.000596	0.000592	0.032726	0.354601
0.140946	0.140945	0.712643	0.077594	0.000597	0.000592	0.032725	0.354941
0.141578	0.141577	0.711842	0.078977	0.000597	0.000592	0.032723	0.355249
0.142209	0.142209	0.710519	0.079662	0.000597	0.000592	0.032722	0.355524
0.142841	0.142840	0.709027	0.081297	0.000597	0.000592	0.032722	0.355766
0.143472	0.143472	0.707245	0.081901	0.000597	0.000592	0.032721	0.355972
0.144104	0.144103	0.705770	0.083285	0.000598	0.000592	0.032722	0.356140
0.144735	0.144735	0.704519	0.083633	0.000598	0.000592	0.032722	0.356271
0.145367	0.145366	0.703157	0.083575	0.000598	0.000592	0.032723	0.356364
0.145998	0.145998	0.702948	0.083857	0.000598	0.000592	0.032725	0.356421
0.146630	0.146629	0.703449	0.084830	0.000598	0.000592	0.032726	0.356445
0.147261	0.147260	0.704971	0.084678	0.000598	0.000592	0.032729	0.356439
0.147893	0.147892	0.707627	0.084868	0.000598	0.000592	0.032731	0.356401
0.148524	0.148523	0.711319	0.084882	0.000598	0.000592	0.032734	0.356334
0.149155	0.149154	0.711520	0.084579	0.000598	0.000592	0.032737	0.356238
0.149787	0.149786	0.710735	0.084976	0.000598	0.000592	0.032740	0.356128
0.150418	0.150417	0.710041	0.084582	0.000598	0.000592	0.032744	0.356013
0.151049	0.151048	0.709192	0.084534	0.000598	0.000592	0.032747	0.355895
0.151680	0.151679	0.708001	0.084814	0.000598	0.000592	0.032750	0.355772
0.152311	0.152310	0.707393	0.084867	0.000598	0.000592	0.032754	0.355645
0.152942	0.152941	0.707459	0.085196	0.000597	0.000592	0.032757	0.355518
0.153573	0.153572	0.708986	0.085351	0.000597	0.000592	0.032760	0.355399
0.154204	0.154203	0.710884	0.085288	0.000597	0.000592	0.032763	0.355291
0.154834	0.154833	0.712135	0.084733	0.000597	0.000592	0.032765	0.355193
0.155465	0.155464	0.713226	0.083969	0.000597	0.000592	0.032768	0.355106
0.156096	0.156094	0.714150	0.082605	0.000597	0.000592	0.032770	0.355030
0.156726	0.156725	0.715665	0.081528	0.000597	0.000592	0.032772	0.354969
0.157356	0.157355	0.717581	0.079458	0.000597	0.000592	0.032774	0.354923
0.157987	0.157985	0.719445	0.077254	0.000597	0.000592	0.032775	0.354893
0.158617	0.158615	0.721938	0.074402	0.000598	0.000592	0.032776	0.354880
0.159247	0.159245	0.723252	0.072504	0.000598	0.000592	0.032777	0.354884
0.159877	0.159875	0.724525	0.070302	0.000598	0.000592	0.032778	0.354910
0.160507	0.160505	0.725531	0.068575	0.000598	0.000592	0.032778	0.354957
0.161136	0.161135	0.726354	0.067026	0.000598	0.000592	0.032779	0.355028
0.161766	0.161765	0.726844	0.066239	0.000598	0.000592	0.032779	0.355120
0.162396	0.162395	0.727359	0.065356	0.000598	0.000592	0.032778	0.355234
0.163026	0.163024	0.727749	0.064733	0.000598	0.000592	0.032778	0.355369
0.163655	0.163654	0.728244	0.064137	0.000598	0.000593	0.032777	0.355524
0.164285	0.164283	0.728823	0.063701	0.000598	0.000593	0.032776	0.355696
0.164914	0.164912	0.729331	0.063899	0.000598	0.000593	0.032775	0.355886
0.165543	0.165542	0.729900	0.064246	0.000598	0.000593	0.032773	0.356093
0.166173	0.166171	0.730229	0.065235	0.000598	0.000593	0.032771	0.356319
0.166802	0.166800	0.730717	0.065811	0.000598	0.000593	0.032768	0.356561
0.167431	0.167429	0.731394	0.067165	0.000598	0.000593	0.032766	0.356820
0.168060	0.168058	0.731970	0.068543	0.000598	0.000593	0.032763	0.357105
0.168689	0.168687	0.733608	0.069329	0.000598	0.000592	0.032759	0.357422
0.169318	0.169316	0.734251	0.070315	0.000598	0.000592	0.032755	0.357768
0.169534	0.169532	0.733959	0.070939	0.000598	0.000592	0.032754	0.357892
0.169608	0.169606	0.733763	0.070786	0.000598	0.000592	0.032753	0.357935
0.169633	0.169632	0.733654	0.071394	0.000598	0.000592	0.032753	0.357950
0.169642	0.169640	0.733752	0.070808	0.000598	0.000592	0.032753	0.357955
0.169645	0.169643	0.733643	0.070829	0.000598	0.000592	0.032753	0.357957
