radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.112039	0.112036	-0.775999	-0.252777	0.000839	0.000765	0.035238	-0.494132
0.112042	0.112039	-0.775999	-0.252606	0.000839	0.000765	0.035238	-0.494158
0.112045	0.112043	-0.775999	-0.252487	0.000839	0.000765	0.035237	-0.494186
0.112048	0.112046	-0.775898	-0.252837	0.000839	0.000765	0.035237	-0.494216
0.112052	0.112050	-0.775898	-0.252487	0.000839	0.000765	0.035237	-0.494249
0.112056	0.112054	-0.776100	-0.252948	0.000839	0.000765	0.035237	-0.494284
0.112061	0.112058	-0.775999	-0.252837	0.000839	0.000765	0.035237	-0.494322
0.112065	0.112063	-0.776001	-0.252801	0.000839	0.000765	0.035237	-0.494363
0.112070	0.112068	-0.776102	-0.252741	0.000839	0.000765	0.035237	-0.494407
0.112076	0.112074	-0.775999	-0.252741	0.000839	0.000765	0.035237	-0.494455
0.112082	0.112080	-0.776001	-0.252972	0.000838	0.000765	0.035236	-0.494506
0.112088	0.112086	-0.776305	-0.252972	0.000838	0.000765	0.035236	-0.494561
0.112095	0.112093	-0.776203	-0.253143	0.000838	0.000765	0.035236	-0.494620
0.112103	0.112100	-0.776203	-0.252972	0.000838	0.000765	0.035236	-0.494684
0.112111	0.112108	-0.776305	-0.253203	0.000838	0.000765	0.035236	-0.494753
0.112119	0.112117	-0.776410	-0.253263	0.000838	0.000765	0.035235	-0.494828
0.112129	0.112126	-0.775980	-0.253434	0.000838	0.000765	0.035235	-0.494908
0.112139	0.112136	-0.775976	-0.253434	0.000838	0.000765	0.035235	-0.494994
0.112149	0.112147	-0.775873	-0.253666	0.000838	0.000765	0.035235	-0.495087
0.112161	0.112159	-0.776509	-0.253725	0.000838	0.000765	0.035234	-0.495187
0.112174	0.112171	-0.776511	-0.254017	0.000838	0.000765	0.035234	-0.495294
0.112187	0.112185	-0.776610	-0.253725	0.000838	0.000765	0.035233	-0.495410
0.112202	0.112200	-0.776713	-0.254368	0.000838	0.000765	0.035233	-0.495535
0.112218	0.112216	-0.776712	-0.254599	0.000838	0.000764	0.035233	-0.495670
0.112235	0.112233	-0.776813	-0.254488	0.000838	0.000764	0.035232	-0.495815
