radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.095263	0.095255	-0.642562	-0.108297	0.000831	0.000755	0.036603	-0.369476
0.095266	0.095258	-0.642466	-0.108316	0.000831	0.000755	0.036603	-0.369504
0.095270	0.095262	-0.642658	-0.108452	0.000831	0.000755	0.036603	-0.369539
0.095275	0.095267	-0.642731	-0.108297	0.000831	0.000755	0.036603	-0.369584
0.095281	0.095273	-0.642610	-0.108259	0.000831	0.000755	0.036602	-0.369641
0.095289	0.095281	-0.642586	-0.108433	0.000831	0.000755	0.036602	-0.369713
0.095299	0.095291	-0.642706	-0.108433	0.000830	0.000755	0.036601	-0.369804
0.095312	0.095304	-0.642778	-0.108588	0.000830	0.000755	0.036601	-0.369921
0.095328	0.095320	-0.642875	-0.108550	0.000830	0.000755	0.036600	-0.370068
0.095349	0.095341	-0.642947	-0.108705	0.000830	0.000755	0.036598	-0.370255
0.095376	0.095368	-0.643308	-0.108803	0.000830	0.000754	0.036597	-0.370493
0.095410	0.095402	-0.643381	-0.109132	0.000830	0.000754	0.036595	-0.370794
0.095453	0.095445	-0.643790	-0.109268	0.000829	0.000754	0.036592	-0.371177
0.095508	0.095500	-0.644007	-0.109731	0.000829	0.000753	0.036589	-0.371663
0.095579	0.095571	-0.644393	-0.110175	0.000828	0.000753	0.036585	-0.372279
0.095669	0.095661	-0.644900	-0.111427	0.000828	0.000752	0.036580	-0.373061
0.095783	0.095775	-0.645213	-0.112754	0.000826	0.000751	0.036574	-0.374054
0.095929	0.095921	-0.645720	-0.114418	0.000825	0.000750	0.036565	-0.375315
0.096115	0.096107	-0.647209	-0.117575	0.000822	0.000747	0.036555	-0.376915
0.096352	0.096344	-0.648506	-0.120983	0.000819	0.000745	0.036541	-0.378946
0.096654	0.096646	-0.650617	-0.125491	0.000816	0.000742	0.036523	-0.381527
0.097039	0.097031	-0.653886	-0.130696	0.000811	0.000738	0.036500	-0.384804
0.097530	0.097522	-0.657893	-0.136605	0.000806	0.000734	0.036469	-0.388957
0.098156	0.098148	-0.661845	-0.144215	0.000800	0.000728	0.036430	-0.394205
0.098953	0.098945	-0.665088	-0.153839	0.000792	0.000721	0.036379	-0.400836
0.099969	0.099961	-0.670151	-0.165996	0.000782	0.000712	0.036311	-0.409240
0.101264	0.101256	-0.678278	-0.181351	0.000769	0.000701	0.036220	-0.419881
0.102559	0.102551	-0.685721	-0.196211	0.000757	0.000690	0.036124	-0.430478
0.103853	0.103846	-0.692125	-0.211338	0.000745	0.000680	0.036023	-0.441038
0.105147	0.105140	-0.697849	-0.226005	0.000733	0.000670	0.035917	-0.451569
0.106441	0.106434	-0.703241	-0.240987	0.000721	0.000660	0.035806	-0.462076
0.107735	0.107728	-0.708429	-0.256349	0.000710	0.000651	0.035690	-0.472539
0.109028	0.109022	-0.712813	-0.271244	0.000699	0.000642	0.035569	-0.482950
0.110322	0.110315	-0.718146	-0.287407	0.000690	0.000634	0.035442	-0.493307
0.111615	0.111608	-0.723368	-0.303601	0.000681	0.000626	0.035310	-0.503610
0.112908	0.112901	-0.728586	-0.319311	0.000672	0.000619	0.035172	-0.513863
0.114200	0.114194	-0.733061	-0.335251	0.000665	0.000613	0.035029	-0.524067
0.115493	0.115487	-0.737411	-0.350864	0.000658	0.000607	0.034880	-0.534225
0.116785	0.116780	-0.740957	-0.366604	0.000651	0.000602	0.034727	-0.544340
0.118078	0.118072	-0.744571	-0.382033	0.000646	0.000598	0.034568	-0.554416
0.119370	0.119365	-0.748046	-0.397038	0.000641	0.000594	0.034403	-0.564456
0.120663	0.120657	-0.752682	-0.411831	0.000636	0.000590	0.034233	-0.574463
0.121955	0.121949	-0.757152	-0.426219	0.000632	0.000587	0.034058	-0.584442
0.123247	0.123242	-0.762757	-0.440108	0.000629	0.000585	0.033878	-0.594398
0.124539	0.124534	-0.769631	-0.454500	0.000625	0.000583	0.033692	-0.604335
0.125831	0.125826	-0.777272	-0.468394	0.000623	0.000581	0.033501	-0.614255
0.127122	0.127118	-0.785398	-0.480355	0.000620	0.000580	0.033304	-0.624147
0.128414	0.128409	-0.795667	-0.492669	0.000619	0.000580	0.033104	-0.634012
0.129705	0.129701	-0.805137	-0.506124	0.000617	0.000579	0.032900	-0.643816
0.130997	0.130992	-0.814573	-0.518615	0.000615	0.000579	0.032695	-0.653531
0.132287	0.132283	-0.823739	-0.531201	0.000614	0.000579	0.032488	-0.663161
0.133578	0.133574	-0.832218	-0.543172	0.000613	0.000578	0.032279	-0.672714
0.134868	0.134864	-0.841675	-0.555059	0.000611	0.000578	0.032068	-0.682192
0.136158	0.136154	-0.849645	-0.567083	0.000610	0.000578	0.031854	-0.691593
0.137448	0.137444	-0.857576	-0.578452	0.000610	0.000579	0.031639	-0.700916
0.138737	0.138733	-0.863953	-0.590671	0.000609	0.000579	0.031422	-0.710163
0.140026	0.140023	-0.870426	-0.601892	0.000608	0.000579	0.031203	-0.719346
0.141315	0.141312	-0.878818	-0.613559	0.000608	0.000580	0.030982	-0.728466
0.142604	0.142600	-0.886374	-0.624358	0.000607	0.000580	0.030758	-0.737521
0.143892	0.143888	-0.892979	-0.635607	0.000607	0.000581	0.030533	-0.746507
0.145180	0.145176	-0.899422	-0.646736	0.000607	0.000581	0.030306	-0.755429
0.146467	0.146464	-0.903950	-0.657736	0.000607	0.000582	0.030077	-0.764290
0.147754	0.147751	-0.909249	-0.668043	0.000607	0.000583	0.029847	-0.773088
0.149041	0.149038	-0.915467	-0.678723	0.000607	0.000583	0.029616	-0.781826
0.150327	0.150324	-0.921306	-0.689618	0.000607	0.000584	0.029384	-0.790505
0.151613	0.151610	-0.926813	-0.699193	0.000607	0.000585	0.029151	-0.799127
0.152899	0.152896	-0.932846	-0.709912	0.000607	0.000585	0.028917	-0.807692
0.154184	0.154181	-0.937987	-0.719717	0.000607	0.000586	0.028682	-0.816200
0.155469	0.155466	-0.943243	-0.729997	0.000607	0.000587	0.028446	-0.824653
0.156753	0.156751	-0.947651	-0.739935	0.000607	0.000587	0.028208	-0.833051
0.158037	0.158035	-0.952350	-0.749877	0.000607	0.000588	0.027970	-0.841397
0.159321	0.159319	-0.956986	-0.759479	0.000606	0.000589	0.027730	-0.849698
0.160604	0.160602	-0.962518	-0.769738	0.000606	0.000589	0.027489	-0.857954
0.161887	0.161885	-0.967846	-0.779082	0.000606	0.000590	0.027247	-0.866159
0.163169	0.163167	-0.971861	-0.788281	0.000606	0.000591	0.027005	-0.874311
0.164451	0.164450	-0.976482	-0.797277	0.000606	0.000592	0.026762	-0.882413
0.165457	0.165455	-0.980385	-0.804223	0.000606	0.000592	0.026570	-0.888756
0.166246	0.166244	-0.983195	-0.809757	0.000606	0.000592	0.026419	-0.893727
0.166865	0.166863	-0.986668	-0.813615	0.000606	0.000593	0.026300	-0.897626
0.167351	0.167349	-0.988439	-0.816316	0.000606	0.000593	0.026207	-0.900686
0.167732	0.167730	-0.990237	-0.818069	0.000606	0.000593	0.026133	-0.903088
