radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet
0.169106	0.162340	-57.318976	-46.045576	0.000558	0.000506
0.169110	0.162343	-57.326959	-46.058901	0.000558	0.000506
0.169113	0.162346	-57.306530	-46.045081	0.000558	0.000506
0.169115	0.162349	-57.314515	-46.058399	0.000558	0.000506
0.169119	0.162353	-57.322497	-46.058901	0.000558	0.000506
0.169122	0.162357	-57.322497	-46.072219	0.000558	0.000506
0.169127	0.162362	-57.302075	-46.059403	0.000558	0.000506
0.169132	0.162368	-57.322497	-46.086561	0.000558	0.000506
0.169138	0.162375	-57.313581	-46.072219	0.000558	0.000506
0.169144	0.162384	-57.326014	-46.086561	0.000558	0.000506
0.169152	0.162394	-57.321556	-46.100400	0.000558	0.000506
0.169161	0.162406	-57.329527	-46.114246	0.000558	0.000506
0.169172	0.162420	-57.325070	-46.087076	0.000558	0.000506
0.169184	0.162436	-57.333036	-46.073745	0.000558	0.000506
0.169198	0.162456	-57.333036	-46.128098	0.000558	0.000506
0.169215	0.162479	-57.361376	-46.114775	0.000558	0.000506
0.169234	0.162506	-57.353419	-46.142499	0.000558	0.000506
0.169256	0.162539	-57.348957	-46.170250	0.000558	0.000506
0.169282	0.162577	-57.361376	-46.170250	0.000558	0.000506
0.169308	0.162616	-57.361376	-46.184698	0.000558	0.000506
0.169330	0.162649	-57.386225	-46.171362	0.000558	0.000506
0.169350	0.162676	-57.390702	-46.185825	0.000558	0.000506
0.169366	0.162699	-57.378271	-46.213654	0.000558	0.000506
0.169380	0.162719	-57.403137	-46.200307	0.000558	0.000506
0.169393	0.162735	-57.387225	-46.214232	0.000558	0.000506
0.169403	0.162749	-57.395183	-46.186954	0.000558	0.000506
0.169412	0.162761	-57.415575	-46.214232	0.000558	0.000506
0.169420	0.162771	-57.407622	-46.201451	0.000558	0.000506
0.169427	0.162779	-57.399666	-46.228163	0.000558	0.000506
0.169433	0.162787	-57.399666	-46.228749	0.000558	0.000506
0.169438	0.162793	-57.407622	-46.214811	0.000558	0.000506
0.169442	0.162798	-57.391707	-46.214232	0.000558	0.000506
0.169446	0.162802	-57.399666	-46.214232	0.000558	0.000506
0.169449	0.162806	-57.424560	-46.214811	0.000558	0.000506
0.169452	0.162809	-57.412111	-46.228749	0.000558	0.000506
