radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.122289	0.122285	-0.883564	-0.399478	0.000805	0.000726	0.030794	-0.618602
0.122292	0.122288	-0.883797	-0.399822	0.000805	0.000726	0.030794	-0.618629
0.122295	0.122291	-0.883331	-0.399505	0.000805	0.000726	0.030793	-0.618656
0.122298	0.122295	-0.883587	-0.399989	0.000805	0.000726	0.030793	-0.618686
0.122302	0.122298	-0.883459	-0.400064	0.000805	0.000726	0.030793	-0.618718
0.122306	0.122302	-0.883843	-0.399553	0.000805	0.000726	0.030792	-0.618752
0.122310	0.122307	-0.883715	-0.399832	0.000805	0.000726	0.030792	-0.618790
0.122315	0.122311	-0.883610	-0.399387	0.000805	0.000726	0.030791	-0.618829
0.122320	0.122316	-0.883505	-0.399489	0.000805	0.000726	0.030791	-0.618872
0.122325	0.122322	-0.883656	-0.399209	0.000805	0.000726	0.030790	-0.618918
0.122331	0.122327	-0.883889	-0.399709	0.000805	0.000726	0.030790	-0.618968
0.122337	0.122333	-0.883807	-0.399634	0.000805	0.000726	0.030789	-0.619021
0.122344	0.122340	-0.883935	-0.399785	0.000805	0.000726	0.030788	-0.619078
0.122351	0.122347	-0.883725	-0.399580	0.000805	0.000726	0.030788	-0.619139
0.122359	0.122355	-0.883981	-0.400082	0.000805	0.000726	0.030787	-0.619205
0.122367	0.122363	-0.883876	-0.399467	0.000805	0.000726	0.030786	-0.619276
0.122376	0.122372	-0.883876	-0.400194	0.000805	0.000726	0.030785	-0.619352
0.122385	0.122382	-0.883922	-0.400185	0.000804	0.000726	0.030784	-0.619433
0.122396	0.122392	-0.884074	-0.400157	0.000804	0.000726	0.030783	-0.619521
0.122407	0.122403	-0.883992	-0.400241	0.000804	0.000726	0.030782	-0.619615
0.122418	0.122415	-0.884015	-0.400511	0.000804	0.000726	0.030781	-0.619716
0.122431	0.122427	-0.884061	-0.401097	0.000804	0.000726	0.030780	-0.619825
0.122445	0.122441	-0.884213	-0.401207	0.000804	0.000726	0.030778	-0.619942
0.122459	0.122456	-0.884365	-0.401485	0.000804	0.000726	0.030777	-0.620067
0.122475	0.122472	-0.884154	-0.401243	0.000804	0.000726	0.030775	-0.620202
0.122492	0.122489	-0.884306	-0.401551	0.000804	0.000725	0.030773	-0.620346
0.122511	0.122507	-0.884458	-0.402471	0.000804	0.000725	0.030771	-0.620502
0.122530	0.122526	-0.884481	-0.402167	0.000803	0.000725	0.030770	-0.620669
0.122551	0.122548	-0.884739	-0.402543	0.000803	0.000725	0.030767	-0.620848
0.122574	0.122570	-0.884809	-0.402583	0.000803	0.000725	0.030765	-0.621040
0.122598	0.122595	-0.884750	-0.403059	0.000803	0.000725	0.030763	-0.621247
0.122625	0.122621	-0.884902	-0.402650	0.000803	0.000725	0.030760	-0.621470
0.122653	0.122649	-0.885055	-0.403684	0.000802	0.000724	0.030757	-0.621708
0.122683	0.122679	-0.885020	-0.403752	0.000802	0.000724	0.030754	-0.621965
0.122715	0.122712	-0.885302	-0.404201	0.000802	0.000724	0.030751	-0.622240
0.122750	0.122747	-0.885608	-0.404512	0.000802	0.000724	0.030747	-0.622535
0.122788	0.122784	-0.885444	-0.405031	0.000801	0.000723	0.030743	-0.622853
0.122828	0.122825	-0.885409	-0.405448	0.000801	0.000723	0.030739	-0.623194
0.122872	0.122868	-0.885951	-0.405863	0.000800	0.000723	0.030735	-0.623560
0.122919	0.122915	-0.885917	-0.406351	0.000800	0.000722	0.030730	-0.623953
0.122969	0.122965	-0.885799	-0.406937	0.000799	0.000722	0.030725	-0.624375
0.123023	0.123019	-0.886001	-0.407665	0.000799	0.000721	0.030720	-0.624828
0.123081	0.123077	-0.886121	-0.408221	0.000798	0.000721	0.030714	-0.625315
0.123143	0.123139	-0.886347	-0.409652	0.000797	0.000720	0.030708	-0.625837
0.123210	0.123206	-0.886443	-0.410827	0.000796	0.000719	0.030701	-0.626398
0.123282	0.123279	-0.886718	-0.411634	0.000795	0.000719	0.030694	-0.627000
0.123360	0.123356	-0.886708	-0.412198	0.000794	0.000718	0.030686	-0.627647
0.123443	0.123439	-0.886747	-0.413139	0.000793	0.000717	0.030677	-0.628341
0.123532	0.123529	-0.887024	-0.414400	0.000791	0.000715	0.030668	-0.629085
0.123628	0.123625	-0.887087	-0.415828	0.000789	0.000714	0.030658	-0.629885
0.123732	0.123728	-0.887151	-0.417415	0.000788	0.000713	0.030648	-0.630742
0.123843	0.123839	-0.887371	-0.418846	0.000785	0.000711	0.030637	-0.631662
0.123962	0.123959	-0.887386	-0.420145	0.000783	0.000709	0.030625	-0.632650
0.124091	0.124087	-0.887583	-0.422174	0.000780	0.000707	0.030612	-0.633711
0.124229	0.124225	-0.887673	-0.423717	0.000777	0.000704	0.030597	-0.634850
0.124377	0.124373	-0.888138	-0.426317	0.000774	0.000702	0.030582	-0.636075
0.124536	0.124533	-0.888496	-0.428073	0.000770	0.000699	0.030566	-0.637390
0.124708	0.124704	-0.888932	-0.430251	0.000766	0.000696	0.030548	-0.638804
0.124892	0.124888	-0.889666	-0.432502	0.000762	0.000693	0.030529	-0.640323
0.125090	0.125086	-0.890050	-0.435228	0.000758	0.000690	0.030508	-0.641956
0.125303	0.125299	-0.890870	-0.437864	0.000754	0.000687	0.030485	-0.643712
