radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.122289	0.120474	-50.624476	-22.888395	0.000805	0.000726	0.030794	-35.443281
0.122292	0.120477	-50.637829	-22.908113	0.000805	0.000726	0.030794	-35.444802
0.122295	0.120480	-50.611123	-22.889935	0.000805	0.000726	0.030793	-35.446391
0.122298	0.120483	-50.625792	-22.917692	0.000805	0.000726	0.030793	-35.448092
0.122302	0.120486	-50.618456	-22.921973	0.000805	0.000726	0.030793	-35.449924
0.122306	0.120490	-50.640467	-22.892705	0.000805	0.000726	0.030792	-35.451901
0.122310	0.120494	-50.633129	-22.908692	0.000805	0.000726	0.030792	-35.454030
0.122315	0.120498	-50.627108	-22.883175	0.000805	0.000726	0.030791	-35.456315
0.122320	0.120503	-50.621085	-22.889015	0.000805	0.000726	0.030791	-35.458768
0.122325	0.120508	-50.629742	-22.873016	0.000805	0.000726	0.030790	-35.461404
0.122331	0.120513	-50.643107	-22.901662	0.000805	0.000726	0.030790	-35.464238
0.122337	0.120519	-50.638404	-22.897349	0.000805	0.000726	0.030789	-35.467280
0.122344	0.120525	-50.645749	-22.905965	0.000805	0.000726	0.030788	-35.470548
0.122351	0.120532	-50.633697	-22.894249	0.000805	0.000726	0.030788	-35.474059
0.122359	0.120539	-50.648394	-22.923008	0.000805	0.000726	0.030787	-35.477831
0.122367	0.120546	-50.642366	-22.887774	0.000805	0.000726	0.030786	-35.481881
0.122376	0.120555	-50.642366	-22.929431	0.000805	0.000726	0.030785	-35.486234
0.122385	0.120563	-50.645011	-22.928891	0.000804	0.000726	0.030784	-35.490908
0.122396	0.120573	-50.653692	-22.927293	0.000804	0.000726	0.030783	-35.495930
0.122407	0.120583	-50.648983	-22.932100	0.000804	0.000726	0.030782	-35.501325
0.122418	0.120594	-50.650309	-22.947564	0.000804	0.000726	0.030781	-35.507120
0.122431	0.120606	-50.652961	-22.981158	0.000804	0.000726	0.030780	-35.513345
0.122445	0.120618	-50.661656	-22.987459	0.000804	0.000726	0.030778	-35.520032
0.122459	0.120632	-50.670357	-23.003379	0.000804	0.000726	0.030777	-35.527216
0.122475	0.120646	-50.658273	-22.989555	0.000804	0.000726	0.030775	-35.534931
0.122492	0.120662	-50.666978	-23.007165	0.000804	0.000725	0.030773	-35.543220
0.122511	0.120679	-50.675689	-23.059870	0.000804	0.000725	0.030771	-35.552124
0.122530	0.120697	-50.677024	-23.042461	0.000803	0.000725	0.030770	-35.561688
0.122551	0.120716	-50.691790	-23.063991	0.000803	0.000725	0.030767	-35.571961
0.122574	0.120737	-50.695809	-23.066314	0.000803	0.000725	0.030765	-35.582997
0.122598	0.120759	-50.692438	-23.093555	0.000803	0.000725	0.030763	-35.594850
0.122625	0.120783	-50.701176	-23.070156	0.000803	0.000725	0.030760	-35.607582
0.122653	0.120809	-50.709920	-23.129405	0.000802	0.000724	0.030757	-35.621258
0.122683	0.120837	-50.707899	-23.133304	0.000802	0.000724	0.030754	-35.635944
0.122715	0.120867	-50.724068	-23.159008	0.000802	0.000724	0.030751	-35.651716
0.122750	0.120899	-50.741605	-23.176804	0.000802	0.000724	0.030747	-35.668654
0.122788	0.120933	-50.732183	-23.206538	0.000801	0.000723	0.030743	-35.686843
0.122828	0.120970	-50.730175	-23.230477	0.000801	0.000723	0.030739	-35.706375
0.122872	0.121010	-50.761269	-23.254221	0.000800	0.000723	0.030735	-35.727351
0.122919	0.121052	-50.759283	-23.282187	0.000800	0.000722	0.030730	-35.749874
0.122969	0.121098	-50.752571	-23.315792	0.000799	0.000722	0.030725	-35.774058
0.123023	0.121147	-50.764125	-23.357458	0.000799	0.000721	0.030720	-35.800025
0.123081	0.121200	-50.770972	-23.389351	0.000798	0.000721	0.030714	-35.827907
0.123143	0.121257	-50.783940	-23.471359	0.000797	0.000720	0.030708	-35.857842
0.123210	0.121318	-50.789447	-23.538656	0.000796	0.000719	0.030701	-35.889981
0.123282	0.121384	-50.805227	-23.584866	0.000795	0.000719	0.030694	-35.924482
0.123360	0.121454	-50.804648	-23.617208	0.000794	0.000718	0.030686	-35.961518
0.123443	0.121530	-50.806843	-23.671110	0.000793	0.000717	0.030677	-36.001271
0.123532	0.121611	-50.822715	-23.743374	0.000791	0.000715	0.030668	-36.043937
0.123628	0.121699	-50.826342	-23.825163	0.000789	0.000714	0.030658	-36.089727
0.123732	0.121793	-50.829982	-23.916124	0.000788	0.000713	0.030648	-36.138866
0.123843	0.121893	-50.842617	-23.998126	0.000785	0.000711	0.030637	-36.191594
0.123962	0.122002	-50.843482	-24.072533	0.000783	0.000709	0.030625	-36.248176
0.124091	0.122118	-50.854776	-24.188770	0.000780	0.000707	0.030612	-36.308948
