radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet
0.112039	0.115023	-44.461478	-14.483082	0.000839	0.000765
0.112042	0.115026	-44.461478	-14.473279	0.000839	0.000765
0.112045	0.115029	-44.461478	-14.466458	0.000839	0.000765
0.112048	0.115033	-44.455680	-14.486496	0.000839	0.000765
0.112052	0.115036	-44.455680	-14.466458	0.000839	0.000765
0.112056	0.115040	-44.467276	-14.492879	0.000839	0.000765
0.112061	0.115044	-44.461478	-14.486496	0.000839	0.000765
0.112065	0.115049	-44.461588	-14.484402	0.000839	0.000765
0.112070	0.115054	-44.467385	-14.480980	0.000839	0.000765
0.112076	0.115059	-44.461478	-14.480980	0.000839	0.000765
0.112082	0.115065	-44.461588	-14.494228	0.000838	0.000765
0.112088	0.115071	-44.478984	-14.494228	0.000838	0.000765
0.112095	0.115077	-44.473184	-14.504049	0.000838	0.000765
0.112103	0.115084	-44.473184	-14.494228	0.000838	0.000765
0.112111	0.115092	-44.478984	-14.507475	0.000838	0.000765
0.112119	0.115100	-44.484996	-14.510904	0.000838	0.000765
0.112129	0.115109	-44.460375	-14.520721	0.000838	0.000765
0.112139	0.115119	-44.460154	-14.520721	0.000838	0.000765
0.112149	0.115129	-44.454231	-14.533965	0.000838	0.000765
0.112161	0.115140	-44.490692	-14.537399	0.000838	0.000765
0.112174	0.115152	-44.490796	-14.554082	0.000838	0.000765
0.112187	0.115165	-44.496494	-14.537399	0.000838	0.000765
0.112202	0.115178	-44.502399	-14.574216	0.000838	0.000765
0.112218	0.115193	-44.502298	-14.587467	0.000838	0.000764
0.112235	0.115209	-44.508102	-14.581110	0.000838	0.000764
0.112253	0.115226	-44.513908	-14.597818	0.000838	0.000764
0.112273	0.115245	-44.507901	-14.631253	0.000838	0.000764
0.112294	0.115265	-44.519617	-14.624912	0.000838	0.000764
0.112317	0.115287	-44.519421	-14.641645	0.000838	0.000764
0.112342	0.115310	-44.519322	-14.661856	0.000838	0.000764
0.112369	0.115335	-44.536765	-14.662475	0.000837	0.000764
0.112398	0.115362	-44.536575	-14.686206	0.000837	0.000764
0.112429	0.115391	-44.536005	-14.733758	0.000837	0.000764
0.112463	0.115422	-44.529505	-14.730947	0.000837	0.000764
0.112499	0.115456	-44.541079	-14.777917	0.000837	0.000763
0.112538	0.115492	-44.540796	-14.756928	0.000837	0.000763
0.112580	0.115531	-44.546357	-14.831967	0.000836	0.000763
0.112626	0.115573	-44.559136	-14.853169	0.000836	0.000763
0.112675	0.115618	-44.570628	-14.869822	0.000836	0.000763
0.112728	0.115667	-44.588061	-14.891341	0.000836	0.000762
0.112785	0.115719	-44.593737	-14.922501	0.000835	0.000762
0.112846	0.115776	-44.599337	-14.969765	0.000835	0.000762
0.112912	0.115837	-44.622749	-15.043804	0.000835	0.000761
0.112984	0.115903	-44.622594	-15.082395	0.000834	0.000761
0.113061	0.115973	-44.628223	-15.151554	0.000834	0.000760
0.113144	0.116049	-44.645744	-15.179511	0.000833	0.000760
0.113234	0.116132	-44.656419	-15.246585	0.000832	0.000759
0.113330	0.116220	-44.673752	-15.290474	0.000832	0.000759
0.113435	0.116315	-44.692152	-15.381949	0.000831	0.000758
0.113547	0.116418	-44.703747	-15.460077	0.000830	0.000757
0.113668	0.116528	-44.714416	-15.516652	0.000829	0.000756
0.113799	0.116647	-44.733068	-15.626631	0.000828	0.000755
0.113940	0.116775	-44.750528	-15.704023	0.000826	0.000754
0.114092	0.116913	-44.762161	-15.815170	0.000825	0.000753
0.114256	0.117062	-44.773677	-15.922386	0.000823	0.000751
0.114433	0.117222	-44.784873	-15.786300	0.000821	0.000749
0.114623	0.117394	-44.821138	-15.870785	0.000819	0.000747
0.114829	0.117580	-44.862486	-15.966451	0.000816	0.000745
0.115051	0.117780	-44.928246	-16.110436	0.000813	0.000743
0.115290	0.117996	-44.957963	-16.588193	0.000810	0.000740
0.115547	0.118228	-45.024023	-16.740773	0.000806	0.000737
0.115825	0.118478	-45.066196	-16.932191	0.000802	0.000733
0.116125	0.118747	-45.102346	-17.144259	0.000797	0.000729
0.116448	0.119037	-45.120724	-17.396428	0.000791	0.000724
0.116797	0.119349	-45.151176	-17.661152	0.000785	0.000719
0.117173	0.119686	-45.218038	-17.658728	0.000778	0.000713
0.117549	0.120022	-45.321100	-17.985579	0.000771	0.000708
0.117924	0.120358	-45.371215	-18.556768	0.000764	0.000702
0.118300	0.120695	-45.480648	-18.842258	0.000758	0.000697
0.118676	0.121031	-45.548677	-19.125661	0.000752	0.000692
0.119052	0.121367	-45.618430	-19.449569	0.000746	0.000687
0.119427	0.121703	-45.681841	-19.730190	0.000740	0.000683
0.119803	0.122039	-45.788029	-20.067641	0.000735	0.000678
0.120179	0.122375	-45.870014	-20.397984	0.000729	0.000674
0.120554	0.122711	-45.946900	-20.734274	0.000724	0.000670
0.120930	0.123047	-46.001812	-21.026142	0.000719	0.000666
0.121305	0.123382	-46.067732	-21.334335	0.000715	0.000662
0.121681	0.123718	-46.146640	-21.686170	0.000710	0.000659
0.122056	0.124054	-46.230897	-21.976157	0.000706	0.000655
0.122432	0.124390	-46.315249	-22.317889	0.000701	0.000652
0.122807	0.124725	-46.395026	-22.627721	0.000697	0.000649
0.123183	0.125061	-46.469450	-22.927431	0.000693	0.000646
0.123558	0.125396	-46.529224	-23.234996	0.000690	0.000643
0.123934	0.125732	-46.620184	-23.509644	0.000686	0.000641
0.124309	0.126068	-46.709337	-23.804760	0.000683	0.000638
0.124684	0.126403	-46.774251	-24.066934	0.000679	0.000636
0.125060	0.126739	-46.872922	-24.312341	0.000676	0.000634
0.125435	0.127074	-46.950016	-24.541821	0.000673	0.000631
0.125810	0.127409	-47.015575	-24.785471	0.000671	0.000629
0.126185	0.127745	-47.077242	-25.019570	0.000668	0.000628
0.126560	0.128080	-47.171281	-25.228679	0.000665	0.000626
0.126936	0.128416	-47.240353	-25.453165	0.000663	0.000624
0.127311	0.128751	-47.312725	-25.681194	0.000660	0.000622
0.127686	0.129087	-47.387320	-25.918008	0.000658	0.000621
0.128061	0.129423	-47.502200	-26.172119	0.000655	0.000619
0.128436	0.129758	-47.568134	-26.411836	0.000653	0.000618
0.128812	0.130094	-47.675551	-26.651772	0.000651	0.000616
0.129187	0.130429	-47.734597	-26.872838	0.000649	0.000615
0.129562	0.130765	-47.810923	-27.158527	0.000647	0.000613
0.129937	0.131101	-47.906263	-27.385507	0.000645	0.000612
0.130312	0.131437	-47.999951	-27.648499	0.000643	0.000611
0.130687	0.131772	-48.083019	-27.907362	0.000641	0.000610
0.131062	0.132108	-48.165395	-28.184689	0.000639	0.000609
0.131438	0.132444	-48.268139	-28.406853	0.000637	0.000608
0.131813	0.132780	-48.343802	-28.666400	0.000636	0.000607
0.132188	0.133116	-48.419268	-28.867159	0.000634	0.000606
0.132563	0.133452	-48.472647	-29.088023	0.000633	0.000605
0.132938	0.133788	-48.543656	-29.308181	0.000631	0.000604
0.133313	0.134124	-48.609980	-29.478729	0.000630	0.000604
0.133688	0.134460	-48.700892	-29.707573	0.000629	0.000603
0.134063	0.134796	-48.761340	-29.957584	0.000628	0.000602
0.134438	0.135132	-48.846209	-30.190442	0.000627	0.000602
0.134813	0.135469	-48.928980	-30.431965	0.000625	0.000601
0.135188	0.135805	-49.046360	-30.666058	0.000624	0.000601
0.135564	0.136142	-49.110728	-30.919581	0.000623	0.000600
0.135939	0.136478	-49.192307	-31.133278	0.000622	0.000600
0.136314	0.136815	-49.269407	-31.332112	0.000622	0.000599
0.136689	0.137151	-49.341581	-31.582364	0.000621	0.000599
0.137064	0.137488	-49.435844	-31.774492	0.000620	0.000599
0.137439	0.137825	-49.516309	-32.020147	0.000619	0.000598
0.137813	0.138162	-49.604833	-32.209875	0.000619	0.000598
0.138188	0.138499	-49.687840	-32.391962	0.000618	0.000598
0.138563	0.138836	-49.743195	-32.589537	0.000618	0.000598
0.138938	0.139173	-49.787957	-32.790116	0.000617	0.000598
0.139313	0.139510	-49.834031	-32.967964	0.000617	0.000597
0.139688	0.139847	-49.864353	-33.205604	0.000616	0.000597
0.140063	0.140185	-49.926583	-33.398488	0.000616	0.000597
0.140438	0.140522	-50.026861	-33.619256	0.000616	0.000597
0.140813	0.140860	-50.117315	-33.823148	0.000615	0.000597
0.141188	0.141197	-50.174670	-34.078747	0.000615	0.000597
0.141562	0.141535	-50.251201	-34.254956	0.000615	0.000597
0.141937	0.141873	-50.357051	-34.538207	0.000615	0.000597
0.142312	0.142211	-50.433949	-34.697186	0.000614	0.000597
0.142687	0.142549	-50.513216	-34.926347	0.000614	0.000597
0.143062	0.142887	-50.590888	-35.141974	0.000614	0.000597
0.143436	0.143225	-50.668022	-35.294234	0.000614	0.000597
